325,1,393,61,1.000000
325,1,393,61,0.990059
325,1,393,61,0.997302
325,1,393,61,0.997663
325,1,393,61,0.981726
325,1,393,61,0.963910
325,2,393,62,0.974681
325,1,393,61,0.992233
325,0,393,60,0.994185
325,0,393,60,0.959313
325,0,393,60,0.971136
325,0,393,60,0.933839
323,-1,391,59,0.927266
314,0,382,60,0.828068
301,1,369,61,0.827207
292,1,360,61,0.743314
281,2,349,62,0.746441
271,2,339,62,0.717428
257,3,325,63,0.702254
247,4,315,64,0.687171
239,4,307,64,0.757945
231,5,299,65,0.769779
221,5,289,65,0.806418
213,5,281,65,0.805854
205,6,273,66,0.799137
191,7,259,67,0.774002
181,7,249,67,0.799252
172,8,240,68,0.777184
158,9,226,69,0.750884
146,9,214,69,0.687714
137,10,205,70,0.673679
125,11,193,71,0.632328
115,11,183,71,0.619578
103,12,171,72,0.645131
83,13,151,73,0.640580
71,14,139,74,0.642351
59,15,127,75,0.643973
37,17,105,77,0.614473
26,18,94,78,0.599738
22,18,90,78,0.590013
22,18,90,78,0.588882
22,18,90,78,0.582804
22,18,90,78,0.601751
24,18,92,78,0.585585
29,18,97,78,0.603849
34,18,102,78,0.605683
42,17,110,77,0.617550
49,16,117,76,0.622432
63,15,131,75,0.608797
70,14,138,74,0.599897
80,13,148,73,0.619237
87,12,155,72,0.662321
98,11,166,71,0.691350
112,10,180,70,0.688551
129,9,197,69,0.659359
140,8,208,68,0.705080
150,8,218,68,0.808873
159,7,227,67,0.900548
170,5,239,66,0.845664
177,4,246,65,0.699171
178,4,247,65,0.515941
187,2,256,63,0.480287
194,1,264,63,0.527336
200,-4,276,63,0.507757
203,-5,279,62,0.498506
205,-5,280,61,0.483954
206,-4,280,61,0.469514
206,-5,280,60,0.455878
208,-6,284,61,0.400750
214,-9,292,60,0.383401
229,-9,306,59,0.373375
241,-8,316,58,0.383829
249,-9,324,57,0.393095
263,-9,337,56,0.407876
276,-10,351,56,0.401265
285,-11,360,55,0.431917
288,-9,359,53,0.345013
297,-9,368,53,0.360347
312,-10,385,53,0.376988
321,-11,395,53,0.390522
328,-13,406,55,0.358742
334,-14,413,55,0.390129
346,-15,425,54,0.401559
360,-17,439,52,0.413669
371,-18,451,52,0.381010
378,-20,462,53,0.396227
387,-22,475,54,0.389721
393,-23,483,55,0.381649
403,-23,492,54,0.354008
402,-24,494,55,0.362131
402,-24,495,56,0.331142
402,-24,496,57,0.355829
402,-24,497,58,0.358392
402,-24,497,58,0.362864
402,-24,497,58,0.371332
402,-24,497,58,0.382622
402,-24,497,58,0.389034
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
372,1,454,73,0.444132
370,4,455,78,0.456055
367,9,458,88,0.469496
367,15,462,98,0.480473
364,20,465,108,0.466706
363,23,467,114,0.462852
363,24,467,115,0.456578
363,24,467,115,0.459762
363,24,467,115,0.462509
366,24,470,115,0.463196
377,22,485,116,0.452857
394,21,502,115,0.462014
410,21,518,115,0.465252
427,20,536,115,0.465202
449,19,559,115,0.478807
461,18,572,115,0.478018
461,18,572,115,0.460944
461,18,572,115,0.461019
457,18,567,114,0.463383
451,18,561,114,0.459573
445,18,555,114,0.466912
440,18,550,114,0.467613
429,19,538,114,0.448439
420,20,528,114,0.438438
410,20,518,114,0.443088
396,21,504,115,0.448322
378,22,485,115,0.455079
369,23,474,114,0.466020
356,24,461,115,0.455416
336,25,440,115,0.455676
326,26,429,115,0.452300
344,22,426,94,0.677155
330,23,412,95,0.682509
311,24,393,96,0.679192
300,24,382,96,0.712634
282,25,364,97,0.680441
265,26,347,98,0.678630
240,27,322,99,0.683795
227,28,309,100,0.676925
207,29,289,101,0.655905
187,30,269,102,0.637116
168,31,250,103,0.610675
155,31,237,103,0.606095
138,32,220,104,0.592372
121,32,203,104,0.587377
111,32,193,104,0.632199
110,33,192,105,0.636703
107,35,191,109,0.629616
98,43,186,120,0.573858
90,49,182,129,0.585350
81,55,177,138,0.569375
73,60,175,149,0.575496
65,66,171,158,0.541259
58,72,168,168,0.542662
52,81,165,179,0.527564
61,80,175,179,0.529798
80,79,193,178,0.548975
103,77,216,176,0.541064
125,76,237,174,0.533552
173,73,285,171,0.534095
210,72,320,169,0.544024
254,68,366,167,0.544760
281,66,393,165,0.519801
305,65,418,165,0.494155
328,67,444,170,0.596113
342,69,462,175,0.543308
357,77,484,189,0.534773
360,86,494,204,0.526574
361,94,502,218,0.530239
362,106,516,242,0.515067
363,123,532,272,0.452700
365,136,546,296,0.436439
358,150,550,319,0.452776
330,157,524,327,0.470729
286,160,481,331,0.500238
236,166,432,338,0.497626
163,172,361,346,0.484295
114,177,311,350,0.427594
